"pomodoro","Pomodoro"
"short-break","Kurze Pause"
"long-break","Lange Pause"
"start","Starten"
"pause","Pause"
"stop","Stoppen"
"resume","Fortsetzen"
"reset","Zurücksetzen"
"min-p","Min +"
"min-m","Min -"
"sec-p","Sek +"
"sec-m","Sek -"
"project","Projekt"
"type","Typ"
"del-project","Projekt löschen"
"del-type","Typ löschen"
"del-line","Zeile löschen"
"work-stats","Arbeitsstatistiken"
"break-stats","Pausenstatistiken"
"day","Tag"
"week","Woche"
"month","Monat"
"year","Jahr"
"list-works","Arbeiten in Tabelle auflisten"
"list-breaks","Pausen in Tabelle auflisten"
"warning-title","Warnung"
"select-project-type","Bitte wählen Sie Projekt und Typ"
"no-project-selected","Kein Projekt ausgewählt"
"no-project-found","Projekt nicht gefunden"
"cannot-remove-project","Kann nicht entfernt werden: Das Projekt hat bereits Arbeiten und Pausen zugeordnet"
"project-removed","Projekt entfernt"
"no-type-selected","Kein Typ ausgewählt"
"no-type-found","Typ nicht gefunden"
"cannot-remove-type","Kann nicht entfernt werden: Der Typ hat bereits Arbeiten und Pausen zugeordnet"
"type-removed","Typ entfernt"
"select-line","Bitte wählen Sie eine Zeile aus der Tabelle"
"invalid-selection","Ungültige Auswahl"
"line-removed","Zeile entfernt"
"start-time","Startzeit"
"end-time","Endzeit"
"duration","Dauer"
"project","Projekt"
"type","Typ"
"pomodoro","Pomodoro"
