"pomodoro","Pomodoro"
"short-break"," Short Break"
"long-break","Long Break"
"start","Start"
"pause","Pause"
"stop","Stop"
"resume","Resume"
"reset","Reset"
"min-p","Min +"
"min-m","Min -"
"sec-p","Sec +"
"sec-m","Sec -"
"project","Project"
"type","Type"
"del-project","Delete project"
"del-type","Delete type"
"del-line","Delete line"
"work-stats","Work stats"
"break-stats","Break stats"
"day","Day"
"week","Week"
"month","Month"
"year","Year"
"list-works","List works in table"
"list-breaks","List breaks in table"
"warning-title","Warning"
"select-project-type","Please select Project and Type"
"no-project-selected","No project selected"
"no-project-found","Project not found"
"cannot-remove-project","Cannot remove: The project already \n has works and breaks associated"
"project-removed","Project removed"
"no-type-selected","No type selected"
"no-type-found","Type not found"
"cannot-remove-type","Cannot remove: The type already \n has works and breaks associated"
"type-removed","Type removed"
"select-line","Please select a line from the table"
"invalid-selection","Invalid selection"
"line-removed","Line removed"
"start-time","Start Time"
"end-time","End Time"
"duration","Duration"
"project","Project"
"type","Type"
"pomodoro","Pomodoro"
