"pomodoro","Pomodoro"
"short-break","Descanso corto"
"long-break","Descanso largo"
"start","Comenzar"
"pause","Pausar"
"stop","Detener"
"resume","Reanudar"
"reset","Reiniciar"
"min-p","Min +"
"min-m","Min -"
"sec-p","Sec +"
"sec-m","Sec -"
"project","Proyecto"
"type","Tipo"
"del-project","Eliminar proyecto"
"del-type","Eliminar tipo"
"del-line","Eliminar línea"
"work-stats","Estadísticas de trabajo"
"break-stats","Estadísticas de descanso"
"day","Día"
"week","Semana"
"month","Mes"
"year","Año"
"list-works","Listar trabajos en la tabla"
"list-breaks","Listar descansos en la tabla"
"warning-title","Advertencia"
"select-project-type","Por favor seleccione Proyecto y Tipo"
"no-project-selected","No se ha seleccionado proyecto"
"no-project-found","Proyecto no encontrado"
"cannot-remove-project","No se puede eliminar: El proyecto ya \n tiene trabajos y descansos asociados"
"project-removed","Proyecto eliminado"
"no-type-selected","No se ha seleccionado tipo"
"no-type-found","Tipo no encontrado"
"cannot-remove-type","No se puede eliminar: El tipo ya \n tiene trabajos y descansos asociados"
"type-removed","Tipo eliminado"
"select-line","Por favor seleccione una línea de la tabla"
"invalid-selection","Selección inválida"
"line-removed","Línea eliminada"
"start-time","Hora de inicio"
"end-time","Hora de fin"
"duration","Duración"
"project","Proyecto"
"type","Tipo"
"pomodoro","Pomodoro"
