"pomodoro","Pomodoro"
"short-break","Courte pause"
"long-break","Longue pause"
"start","Démarrer"
"pause","Pause"
"stop","Arrêter"
"resume","Reprendre"
"reset","Réinitialiser"
"min-p","Min +"
"min-m","Min -"
"sec-p","Sec +"
"sec-m","Sec -"
"project","Projet"
"type","Type"
"del-project","Supprimer le projet"
"del-type","Supprimer le type"
"del-line","Supprimer la ligne"
"work-stats","Statistiques de travail"
"break-stats","Statistiques de pause"
"day","Jour"
"week","Semaine"
"month","Mois"
"year","Année"
"list-works","Lister les travaux dans le tableau"
"list-breaks","Lister les pauses dans le tableau"
"warning-title","Avertissement"
"select-project-type","Veuillez sélectionner Projet et Type"
"no-project-selected","Aucun projet sélectionné"
"no-project-found","Projet non trouvé"
"cannot-remove-project","Impossible de supprimer : Le projet a déjà des travaux et des pauses associés"
"project-removed","Projet supprimé"
"no-type-selected","Aucun type sélectionné"
"no-type-found","Type non trouvé"
"cannot-remove-type","Impossible de supprimer : Le type a déjà des travaux et des pauses associés"
"type-removed","Type supprimé"
"select-line","Veuillez sélectionner une ligne du tableau"
"invalid-selection","Sélection invalide"
"line-removed","Ligne supprimée"
"start-time","Heure de début"
"end-time","Heure de fin"
"duration","Durée"
"project","Projet"
"type","Type"
"pomodoro","Pomodoro"
