"pomodoro","Pomodoro"
"short-break","Pausa Pequena"
"long-break","Pausa Longa"
"start","Iniciar"
"pause","Pausar"
"stop","Parar"
"resume","Resumir"
"reset","Reiniciar"
"min-p","Min +"
"min-m","Min -"
"sec-p","Sec +"
"sec-m","Sec -"
"project","Projeto"
"type","Tipo"
"del-project","Remover projeto"
"del-type","Remover tipo"
"del-line","Remover linha"
"work-stats","Estatísticas de trabalho"
"break-stats","Estatísticas de pausa"
"day","Dia"
"week","Semana"
"month","Mês"
"year","Ano"
"list-works","Visualizar trabalhos na tabela"
"list-breaks","Visualizar pausas na tabela"
"warning-title","Aviso"
"select-project-type","Por favor selecione o Projeto e o Tipo"
"no-project-selected","Nenhum projeto selecionado"
"no-project-found","Nenhum projeto encontrado"
"cannot-remove-project","Não é possível remover: O projeto já possuí \n trabalhos e pausas associados"
"project-removed","Projeto removido"
"no-type-selected","Nenhum tipo selecionado"
"no-type-found","Nenhum tipo encontrado"
"cannot-remove-type","Não é possível remover: O tipo já possuí \n trabalhos e pausas associados"
"type-removed","Tipo removido"
"select-line","Por favor selecione uma linha da tabela"
"invalid-selection","Seleção inválida"
"line-removed","Linha removida"
"start-time","Início"
"end-time","Fim"
"duration","Duração"
"project","Projeto"
"type","Tipo"
"pomodoro","Pomodoro"
